axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
sampling_rate,128,naive,0.907937,0.797143,0.124727,276,0.870381,0.940455
sampling_rate,128,canonicalized,0.758360,0.526032,0.426225,276,0.702193,0.813194
sampling_rate,200,naive,0.907937,0.797143,0.124727,276,0.870381,0.940455
sampling_rate,200,canonicalized,0.856032,0.547460,0.415190,276,0.809520,0.900830
sampling_rate,250,naive,0.907937,0.797143,0.124727,276,0.870381,0.940455
sampling_rate,250,canonicalized,0.907937,0.797143,0.124727,276,0.870381,0.940455
sampling_rate,256,naive,0.907937,0.797143,0.124727,276,0.870381,0.940455
sampling_rate,256,canonicalized,0.901534,0.786508,0.122426,276,0.863884,0.935014
sampling_rate,512,naive,0.907937,0.797143,0.124727,276,0.870381,0.940455
sampling_rate,512,canonicalized,0.751640,0.509365,0.435690,276,0.685115,0.805179
calibration,0.5,naive,0.864974,0.787619,0.114393,276,0.818386,0.905322
calibration,0.5,canonicalized,0.899471,0.602063,0.394263,276,0.857210,0.934862
calibration,0.75,naive,0.895926,0.800952,0.054392,276,0.855891,0.929102
calibration,0.75,canonicalized,0.906825,0.714127,0.256791,276,0.867215,0.940070
calibration,1.0,naive,0.907937,0.797143,0.124727,276,0.870381,0.940455
calibration,1.0,canonicalized,0.907937,0.797143,0.124727,276,0.870381,0.940455
calibration,1.5,naive,0.904974,0.685397,0.304592,276,0.865600,0.939289
calibration,1.5,canonicalized,0.887090,0.804286,0.080106,276,0.845272,0.922594
calibration,2.0,naive,0.899471,0.602063,0.394263,276,0.857210,0.934862
calibration,2.0,canonicalized,0.864974,0.787619,0.114393,276,0.818386,0.905322
power_line,0.0,naive,0.907937,0.797143,0.124727,276,0.870381,0.940455
power_line,0.0,canonicalized,0.907937,0.797143,0.124727,276,0.870381,0.940455
power_line,5.0,naive,0.760053,0.500000,0.543445,276,0.697739,0.814631
power_line,5.0,canonicalized,0.909206,0.802381,0.135378,276,0.871594,0.941152
power_line,15.0,naive,0.636243,0.500000,0.543478,276,0.566731,0.699914
power_line,15.0,canonicalized,0.909101,0.802381,0.135465,276,0.871487,0.941152
power_line,30.0,naive,0.612460,0.500000,0.543478,276,0.543398,0.674380
power_line,30.0,canonicalized,0.909101,0.802381,0.135518,276,0.871463,0.941099
power_line,60.0,naive,0.576534,0.500000,0.543478,276,0.507346,0.642454
power_line,60.0,canonicalized,0.909101,0.802381,0.135560,276,0.871463,0.941099
montage,full19,naive,0.907937,0.797143,0.124727,276,0.870381,0.940455
montage,full19,canonicalized,0.907937,0.797143,0.124727,276,0.870381,0.940455
montage,legacy16,naive,0.905503,0.800635,0.088862,276,0.867696,0.937281
montage,legacy16,canonicalized,0.905238,0.804603,0.094203,276,0.867334,0.937574
montage,bipolar18,naive,0.903069,0.716190,0.255603,276,0.863777,0.937253
montage,bipolar18,canonicalized,0.893280,0.819048,0.062263,276,0.854108,0.928562
broadband,-5.0,naive,0.625767,0.500000,0.537328,276,0.559276,0.690159
broadband,-5.0,canonicalized,0.625767,0.500000,0.537328,276,0.559276,0.690159
broadband,0.0,naive,0.696402,0.526667,0.496959,276,0.635711,0.755261
broadband,0.0,canonicalized,0.696402,0.526667,0.496959,276,0.635711,0.755261
broadband,5.0,naive,0.758148,0.599365,0.410587,276,0.699771,0.812937
broadband,5.0,canonicalized,0.758148,0.599365,0.410587,276,0.699771,0.812937
broadband,10.0,naive,0.796772,0.667460,0.321522,276,0.741903,0.846625
broadband,10.0,canonicalized,0.796772,0.667460,0.321522,276,0.741903,0.846625
broadband,20.0,naive,0.872593,0.759683,0.191780,276,0.828027,0.911725
broadband,20.0,canonicalized,0.872593,0.759683,0.191780,276,0.828027,0.911725
